genome_id	pgs	matched	height_cm	sex
1472.23andme.1376	0.000000	0	157.5	F
1491.ftdna-illumina.810	-0.078225	13602	160.0	
1499.23andme.818	-1.043635	17551	157.5	F
1503.23andme.821	-2.068274	13008	152.4	
1514.23andme.832	-0.633875	12588	172.7	M
1525.23andme.842	-1.103540	12531	177.8	M
1561.ftdna-illumina.871	0.715062	13636	171.0	
1566.23andme.876	2.597063	17280	182.9	M
1578.23andme.883	-3.906787	12547	170.2	M
16.23andme.3446	1.445566	12586	183.0	M
1627.23andme.925	0.413258	12530	180.0	M
1641.23andme.935	-3.167726	12555	185.4	M
1647.ancestry.939	-1.181935	14015	162.6	F
1678.23andme.962	6.374257	17495	170.2	
1691.ancestry.3441	-1.449143	13614	185.4	
1712.23andme.988	1.184390	17644	165.1	F
1718.23andme.993	-2.508687	12500	185.4	
1735.ftdna-illumina.1003	3.232280	13643	170.2	F
1737.ancestry.1005	1.112470	14033	167.6	
1738.23andme.1007	0.000000	0	177.8	
1742.23andme.1010	1.845276	17582	160.0	F
1759.23andme.1022	-4.174749	12971	165.1	F
1764.23andme.1025	2.455914	16958	175.3	M
1777.23andme.1043	0.682283	12552	188.0	M
1785.23andme.1041	-0.674790	13017	162.6	
1825.23andme.1070	0.610549	17119	188.0	
1833.23andme.1081	-2.187253	13005	160.0	
1848.23andme.1091	1.925904	17042	183.0	M
187.23andme.267	1.584122	12168	185.4	M
1871.ftdna-illumina.1110	0.595683	432	157.5	
1879.23andme.1117	1.337795	12573	170.2	
1887.23andme.1123	0.442300	12572	180.3	M
1952.23andme.1206	-2.169775	12554	180.3	M
1964.23andme.1683	0.575405	13610	190.5	M
1968.23andme.1156	3.447803	17619	157.5	F
1970.23andme.1158	-4.255812	13009	162.6	
1980.23andme.1166	-0.083111	17026	195.6	M
1984.23andme.1170	-0.724564	17584	170.2	F
1985.23andme.1171	0.967827	17087	185.4	
1987.23andme.1174	-0.352487	17118	168.0	M
1996.23andme.1182	-0.670573	17610	167.6	F
2000.23andme.1184	-1.946041	13031	155.0	F
2004.23andme.1189	-3.998225	12944	167.6	F
2008.23andme.1193	0.476099	12977	162.6	F
2013.23andme.1197	-1.012396	12516	190.5	
2023.23andme.1203	5.457482	17568	175.3	F
2034.23andme.1216	0.548344	12949	172.7	
2050.23andme.1228	3.070686	17537	165.1	F
2052.23andme.1229	2.109923	13024	185.4	F
