genome_id	height_cm	sex
6204.23andme.4709	157.5	
6191.ftdna-illumina.4695	162.6	F
6189.ancestry.4692	167.6	
6184.ftdna-illumina.4689	149.9	F
6182.ancestry.4686	157.5	
6169.23andme.4677	180.3	F
6156.23andme.4668	177.8	M
6127.ancestry.4646	175.3	M
6124.23andme.4643	167.6	
6117.ancestry.4637	170.2	M
6103.23andme.4608	183.0	
6093.ancestry.4598	157.5	
6074.23andme.4581	177.8	M
4941.23andme.4573	182.0	
6035.23andme.4529	168.0	
5935.ancestry.4397	175.3	M
5918.23andme.4387	157.5	F
5917.23andme.4386	170.2	F
5912.ftdna-illumina.4381	180.0	
5221.ancestry.4376	167.6	M
5900.23andme.4370	172.7	M
5868.23andme.4346	160.0	F
5866.23andme.4342	172.7	
5859.ftdna-illumina.4336	197.0	
5857.ancestry.4335	182.9	
5850.23andme.4328	187.0	
5844.ftdna-illumina.4323	175.3	F
5820.23andme.4298	149.9	
5815.23andme.4291	182.9	
5800.23andme.4277	177.8	M
5797.23andme-exome-vcf.4274	167.6	
5795.ancestry.4272	190.5	
5792.ftdna-illumina.4268	172.0	F
5778.23andme.4253	181.0	M
5773.23andme.4247	178.0	F
5621.23andme.4245	182.9	M
5743.23andme.4219	182.9	M
5741.23andme.4217	167.6	
5719.23andme.4214	162.6	F
5727.ancestry.4203	182.9	
2969.23andme.4132	152.4	F
5637.23andme.4123	175.0	M
5612.23andme.4103	177.8	
4735.genes-for-good.4081	167.6	F
5581.ancestry.4072	161.3	F
5573.ftdna-illumina.4062	167.6	F
5559.ancestry.4047	188.0	
5552.23andme.4043	170.0	
5544.ftdna-illumina.4037	175.0	
5536.ancestry.4031	167.6	
5527.23andme.4018	170.2	M
5521.23andme.4013	152.4	
5516.23andme.4008	165.1	
5515.23andme.4007	177.8	M
5514.ftdna-illumina.4005	180.0	
5506.ancestry.4000	157.5	F
5502.ftdna-illumina.3996	167.6	
5494.ancestry.3990	172.7	
5487.23andme.3981	165.1	F
5480.genes-for-good.3975	165.1	F
5475.23andme.3971	188.0	
5460.23andme.3958	162.6	
5456.23andme.3955	175.3	M
5435.23andme.3938	157.5	
5432.23andme.3935	175.3	M
5425.23andme.3932	170.2	
5362.ftdna-illumina.3875	175.0	M
5185.23andme.3866	172.7	
5352.23andme.3863	172.7	F
5342.23andme.3856	165.1	F
4267.23andme.3843	167.6	
5330.ancestry.3837	165.1	F
5301.ftdna-illumina.3831	180.3	
5323.23andme.3830	162.6	
5310.23andme.3815	175.0	
5283.ftdna-illumina.3791	193.0	
5278.ancestry.3789	167.6	F
5276.23andme.3787	162.6	F
5275.ftdna-illumina.3784	160.0	M
5226.23andme.3772	172.0	
5249.ancestry.3760	167.6	F
5241.ancestry.3756	170.2	F
5235.23andme.3749	188.0	M
5233.23andme.3747	170.2	F
5211.23andme.3722	160.0	F
5207.23andme.3716	177.0	M
5206.23andme.3715	165.1	
5192.genes-for-good.3711	167.6	F
5199.ancestry.3708	188.0	M
5190.23andme.3700	157.5	F
5182.23andme.3692	157.5	
5180.23andme.3689	175.3	M
5169.ancestry.3677	170.2	F
5168.23andme.3676	172.7	
5146.23andme.3654	175.3	M
5130.23andme.3642	171.0	
5107.ancestry.3622	152.4	
5105.23andme.3621	165.0	F
5103.ancestry.3619	165.1	
5099.ancestry.3616	172.7	F
5098.23andme.3615	160.0	F
5093.23andme.3610	165.0	
5066.ancestry.3589	170.2	
5048.23andme.3577	170.2	F
5044.23andme.3573	167.6	F
5034.ancestry.3566	167.6	F
5027.ancestry.3561	180.3	M
4996.ancestry.3535	170.2	
4985.23andme.3522	165.1	F
4979.genes-for-good.3516	168.9	F
4962.23andme.3503	155.0	
4954.ancestry.3497	172.7	M
4952.23andme.3496	170.2	
4939.ancestry.3487	190.5	
4584.ftdna-illumina.3483	180.3	
4583.ftdna-illumina.3482	188.0	
4910.ancestry.3463	167.6	M
4864.ftdna-illumina.3447	172.7	F
16.23andme.3446	183.0	M
1691.ancestry.3441	185.4	
4880.ftdna-illumina.3437	170.2	M
4879.23andme.3436	175.0	F
4842.genes-for-good.3414	165.1	F
4834.ancestry.3409	165.1	F
4832.ftdna-illumina.3407	167.0	M
4825.23andme.3403	186.0	M
4813.23andme.3393	157.5	
4801.23andme.3385	172.7	M
4797.23andme.3381	172.7	M
4732.ancestry.3349	156.2	
4756.23andme.3345	177.8	
4754.ftdna-illumina.3344	180.0	
4718.23andme.3318	172.7	F
4715.23andme.3315	168.0	
4712.23andme.3311	176.0	M
4703.23andme.3308	170.2	
4697.23andme.3305	160.0	
4680.23andme.3290	160.0	F
3303.ftdna-illumina.3286	182.0	
4667.ftdna-illumina.3277	160.0	M
4671.23andme.3274	169.0	M
4644.ftdna-illumina.3241	179.0	
4552.ancestry.3240	170.2	M
4580.23andme.3227	175.0	F
4614.ancestry.3217	190.5	
4613.ftdna-illumina.3216	175.3	M
4604.ancestry.3206	165.1	M
4602.ancestry.3204	185.4	
4597.ancestry.3196	183.0	
4585.ftdna-illumina.3187	172.7	M
4577.23andme.3161	175.0	
4569.23andme.3154	180.3	M
4568.ancestry.3153	160.0	
4558.23andme.3150	182.9	M
4555.ancestry.3148	165.1	F
4547.23andme.3141	165.1	F
4546.ftdna-illumina.3139	170.2	F
4539.23andme.3133	185.4	M
4538.ancestry.3132	175.3	M
4532.23andme.3128	165.1	F
4522.ancestry.3117	162.6	F
4509.23andme.3106	172.0	M
4502.ancestry.3098	185.4	M
4500.23andme.3097	177.8	
4499.23andme.3095	160.0	
4483.23andme.3080	157.5	
4482.23andme.3079	177.8	
4372.23andme.3063	190.5	M
4468.ancestry.3062	157.5	
4460.ancestry.3056	167.6	F
4297.ancestry.3045	192.0	M
4440.ancestry.3043	160.0	
4438.23andme.3042	157.5	F
4428.23andme.3034	172.7	F
4425.ancestry.3030	188.0	
4342.23andme.3029	183.0	M
1111.ftdna-illumina.3026	172.7	M
925.23andme.3022	167.6	
4295.23andme.3019	183.0	
4412.ancestry.3011	157.5	F
4381.23andme.2990	170.2	
4360.ftdna-illumina.2933	172.0	M
4359.23andme.2931	160.0	F
4356.23andme.2928	179.0	F
4351.23andme.2923	165.1	
4290.23andme.2910	175.0	M
4292.23andme.2901	170.2	
4271.decodeme.2897	160.0	F
4252.ancestry.2888	182.9	
4248.23andme.2886	179.0	M
4200.23andme.2852	170.2	M
4195.23andme.2848	175.3	
4194.23andme.2847	195.6	
4181.23andme.2839	167.6	M
4178.23andme.2835	177.8	M
4170.23andme.2827	167.6	F
4029.23andme.2821	177.0	M
4147.23andme.2811	155.0	F
4143.23andme.2809	190.5	M
4133.ancestry.2799	162.6	F
4130.23andme.2797	160.0	F
4111.ancestry.2783	172.7	F
4095.23andme.2771	162.6	
4084.23andme.2766	175.3	M
4065.23andme.2753	175.0	
4064.ancestry.2752	162.6	
3974.23andme.2744	162.6	
4057.23andme.2742	188.0	M
4055.23andme.2740	162.6	
4048.23andme.2734	160.0	F
4034.23andme.2725	180.3	M
4030.23andme.2719	180.3	
4026.ftdna-illumina.2715	155.0	
4021.ancestry.2711	182.9	
4018.23andme.2709	160.0	F
4012.23andme.2703	167.6	F
4009.23andme.2701	193.0	M
3998.ftdna-illumina.2692	162.6	F
3992.23andme.2686	178.0	M
3990.23andme.2684	162.6	F
3987.23andme.2682	193.0	
3964.23andme.2661	180.3	
3957.ancestry.2655	183.0	M
3948.23andme.2651	172.7	
3952.ftdna-illumina.2649	180.3	
3942.23andme.2642	185.4	M
500.23andme.2637	186.0	M
3934.23andme.2634	170.2	
3930.23andme.2629	155.0	F
3922.23andme.2622	155.0	
3913.23andme.2617	160.0	F
3912.23andme.2616	160.0	
3886.ancestry.2593	162.6	
3885.ancestry.2592	170.2	
3881.23andme.2588	168.9	
3867.23andme.2577	165.0	
3866.23andme.2576	190.5	
3865.23andme.2575	165.1	F
3862.23andme.2572	185.4	M
3858.ancestry.2568	167.6	F
3834.23andme.2551	172.7	M
3821.23andme.2539	183.0	M
3813.ftdna-illumina.2536	180.3	M
3802.23andme.2524	190.0	M
3799.23andme.2522	172.7	
3777.23andme.2502	177.8	M
3767.ancestry.2494	157.5	F
3751.ftdna-illumina.2485	157.0	
3749.23andme.2484	182.0	
3733.ancestry.2470	177.8	M
3730.23andme.2468	170.2	
3713.23andme-exome-vcf.2458	172.7	M
3695.23andme.2438	170.2	
3689.23andme.2434	170.2	
3688.ancestry.2433	162.6	
3682.23andme.2429	183.0	M
3680.23andme.2428	172.7	M
3672.ancestry.2417	160.0	F
3671.ancestry.2416	162.6	
3667.23andme.2413	189.0	
3660.ancestry.2406	157.5	F
3642.23andme.2394	193.0	M
3639.23andme.2392	174.0	F
3626.ancestry.2383	167.6	F
3622.23andme.2379	168.9	F
3582.23andme.2349	172.7	F
3581.23andme.2348	175.3	F
3571.ftdna-illumina.2340	175.3	F
991.ftdna-illumina.2308	172.7	F
3532.23andme.2305	170.2	
3531.23andme.2303	160.0	F
3257.23andme.2282	189.0	M
3495.23andme.2271	175.3	F
3486.23andme.2266	172.7	F
3478.23andme.2262	162.6	F
3459.ancestry.2254	162.6	
3422.23andme.2234	155.0	F
3415.23andme.2230	183.0	M
1104.23andme.2221	157.5	
3400.decodeme.2218	185.4	M
3397.ftdna-illumina.2212	162.6	M
3395.23andme.2208	170.2	M
3381.ftdna-illumina.2197	180.3	M
3370.23andme.2187	170.2	M
3364.23andme.2182	152.4	F
3343.23andme.2176	172.7	F
3341.23andme.2175	157.5	F
3326.23andme.2167	180.3	F
3321.23andme.2162	162.6	
3317.23andme.2156	180.0	M
3306.23andme.2150	177.8	M
3289.23andme.2139	160.0	F
3280.23andme.2134	165.1	F
3277.ancestry.2130	170.2	F
3275.23andme.2129	175.0	M
3265.23andme.2123	188.0	M
3227.23andme.2100	183.0	
3211.23andme.2091	182.9	
3196.23andme.2078	157.5	F
3192.23andme.2073	165.1	
3186.23andme.2069	142.2	
3179.23andme.2064	160.0	F
3170.23andme.2054	188.0	M
